DATE,VISIBILITY,DRYBULBTEMPF,WETBULBTEMPF,DewPointTempF,RelativeHumidity,WindSpeed,WindDirection,StationPressure,SeaLevelPressure,Precip
2016-06-05 08:51:00,10.0,68,66,64,87,13,120,29.81,29.83,0.0
2016-06-05 09:51:00,10.0,68,66,64,87,15,110,29.8,29.82,0.0
2016-06-05 10:51:00,5.0,68,66,65,90,14,120,29.77,29.79,0.06
2016-06-05 11:51:00,10.0,69,67,66,90,16,140,29.75,29.77,0.09
2016-06-05 12:51:00,5.0,69,67,66,90,14,150,29.73,29.75,0.0
2016-06-05 13:51:00,0.25,70,68,67,90,17,140,29.69,29.71,0.0
2016-06-05 14:51:00,1.5,70,68,67,90,16,140,29.65,29.68,0.0
2016-06-05 15:51:00,10.0,70,68,67,90,20,170,29.62,29.65,0.0
2016-06-05 16:51:00,10.0,71,68,67,87,18,180,29.61,29.63,0.0
2016-06-05 17:51:00,10.0,70,68,67,90,21,190,29.66,29.68,0.0
2016-06-05 18:51:00,7.0,67,65,64,91,14,200,29.67,29.69,0.0
2016-06-05 19:51:00,10.0,70,67,65,84,13,230,29.64,29.66,0.02
2016-06-05 20:51:00,10.0,70,67,65,84,11,250,29.64,29.66,0.0
2016-06-05 21:51:00,10.0,69,66,65,87,11,240,29.64,29.66,0.0
2016-06-05 22:51:00,10.0,68,66,64,87,10,220,29.65,29.68,0.0
2016-06-05 23:51:00,10.0,67,66,65,93,10,230,29.65,29.67,0.0
2016-06-06 00:51:00,10.0,68,66,65,90,11,240,29.64,29.66,0.0
2016-06-06 01:51:00,10.0,68,66,65,90,9,240,29.63,29.66,0.0
2016-06-06 02:51:00,10.0,68,66,65,90,8,220,29.64,29.66,0.0
